jpword_id	hiragana	kanji	chinese	wordset_id
196	おととい		前天	1
197	まいにち	毎日	每天，每日	1
198	まいあさ	毎朝	每天早晨	1
199	まいばん	毎晩	每天晚上	1
200	まいしゅう	毎週	每个星期	1
201	ごぜん（午前）∕エーエム(am)		上午	1
202	ごご（午後）∕ピーエム(pm)		下午	1
203	にちようび	日曜日	星期日	1
204	げつようび	月曜日	星期一	1
205	かようび	火曜日	星期二	1
206	きんようび	金曜日	星期五	1
207	どようび	土曜日	星期六	1
208	けさ	今朝	今天早晨	1
209	こんばん	今晩	今天晚上	1
210	らいねん	来年	明年	1
211	きょねん	去年	去年	1
212	よる	夜	晚上，夜里，夜晚	1
213	ばん	晩	晚上	1
214	あさ	朝	早晨	1
215	がっこう	学校	学校	1
216	しけん	試験	考试	1
217	しごと	仕事	工作	1
218	ちこく	遅刻	迟到	1
219	やすみ	休み	休息	1
220	しゅっちょう	出張	出差	1
221	けんしゅう	研修	进修	1
222	りょこう	旅行	旅行	1
223	てんらんかい	展覧会	展览会	1
224	かんげいかい	歓迎会	欢迎会	1
225	パーティー		联欢会	1
226	おたく	お宅	府上，（您）家	1
227	いつ		什么时候	1
228	やすみます	休みます	休息	1
229	はたらきます	働きます	工作	1
230	はじまります	始まります	开始	1
231	おわります	終わります	结束	1
232	おきます	起きます	起床	1
233	ねます	寝ます	睡觉	1
234	べんきょうします	勉強～	学习	1
235	いつも		经常，总是	1
236	ペキンししゃ	北京支社	北京分社	1
237	こうべ	神戸	神户	1
238	らいげつ	来月	下个月	1
239	せんげつ	先月	上个月	1
240	よなか	夜中	午夜，半夜	1
241	ゆうべ		昨天晚上	1
242	コンサート		音乐会	1
243	クリスマス		圣诞节	1
244	たんじょうび	誕生日	生日	1
245	こどものひ	こどもの日	儿童节	1
246	なつやすみ	夏休み	暑假	1
247	こうつうきかん	交通機関	交通工具	1
248	しんかんせん	新幹線	新干线	1
249	ひこうき	飛行機	飞机	1
250	フェリー		渡轮	1
251	でんしゃ	電車	电车	1
252	バス		公共汽车	1
253	タクシー		出租车	1
254	びじゅつかん	美術館	美术馆	1
255	アパート		公寓	1
256	うち		家	1
257	プール		游泳池	1
258	ともだち	友達	朋友	1
259	おとうと	弟	弟弟	1
260	いきます	行きます	去	1
261	かえります	帰ります	回来，回去	1
262	きます	来ます	来	1
263	たしか		好像是，大概；的确	1
264	まっすぐ		径直，笔直	1
265	いっしょに		一起	1
266	さとう	佐藤	佐藤	1
267	ペキン	北京	北京	1
268	アメリカ		美国	1
269	かんこく	韓国	韩国	1
270	フランス		法国	1
271	ひろしま	広島	广岛	1
272	きょうと	京都	京都	1
273	ほっかいどう	北海道	北海道	1
274	はこね	箱根	箱根	1
275	ぎんざ	銀座	银座	1
276	しぶや	渋谷	涩谷	1
277	しんじゅく	新宿	新宿	1
278	コーヒー		咖啡	1
279	コーラ		可乐	1
280	おちゃ	お茶	茶	1
281	ワイン		葡萄酒	1
282	バン		面包	1
283	ケーキ		蛋糕	1
284	おかゆ	お粥	粥	1
285	ひるごはん	昼ご飯	午饭	1
286	おべんとう	お弁当	盒饭	1
287	そば		荞麦面	1
288	うどん		面条	1
289	おやこどん	親子丼	鸡肉鸡蛋盖饭	1
290	カレー		咖喱（饭）	1
291	たまご	卵	鸡蛋	1
292	チーズ		干酪	1
293	リンゴ		苹果	1
294	イチゴ		草莓	1
295	そばや	そば屋	荞麦面馆	1
296	テニス		网球	1
297	ジョギング		慢跑，跑步	1
298	サッカー		足球	1
299	やきゅう	野球	棒球	1
300	もうしこみしょ	申込書	申请书	1
301	てかみ	手紙	信	1
302	シーディー	ＣＤ	CD	1
303	おんがく	音楽	音乐	1
304	えいが	映画	电影	1
305	どうぶつえん	動物園	动物园	1
306	バンダ		熊猫	1
307	のみます	飲みます	喝	1
308	かいます	買います	买	1
309	とります	撮ります	拍照，拍摄	1
310	かきます	書きます	写	1
311	よみます	読みます	读	1
312	ききます	聞きます	听	1
313	たべます	食べます	吃	1
314	みます	見ます	看	1
315	します		干，做	1
316	そうじします	掃除～	打扫，扫除	1
317	これから		从现在起，今后	1
318	じゃあ∕では		那么	1
319	ブレゼント		礼物	1
320	チケット		票	1
321	バンフレット		小册子	1
322	きねんひん	記念品	纪念品	1
323	スケジュールひょう	～表	日程表	1
324	しゃしんしゅう	写真集	影集	1
325	はな	花	花	1
326	おかね	お金	钱，金钱	1
327	ボールペン		圆珠笔	1
328	しゅくだい	宿題	作业	1
329	こうくうびん	航空便	航空邮件	1
330	そくたつ	速達	速递，快件	1
331	ファックス		传真	1
332	メール		邮件	1
333	でんおばんごう	電話番号	电话号码	1
334	じゅうしょ	住所	住址	1
335	なまえ	名前	姓名	1
336	けん	件	事件，事情	1
337	しんぶんし	新聞紙	报纸	1
338	かみひこうき	紙飛行機	纸折的飞机	1
339	チョコレート		巧克力	1
340	アイスクリーム		冰激凌	1
341	こむぎこ	小麦粉	面粉	1
342	はし		筷子	1
343	スプーン		勺子	1
